trial,policy,n_robots,n_tasks,total_distance,makespan
142,auction,4,18,50.563790566569935,17.87136678402025
143,fifo,3,19,101.5962486133124,38.863437119461686
143,auction,3,19,56.67185246385522,22.767044019283837
144,fifo,5,13,61.76760163510335,15.369713337363422
144,auction,5,13,25.194433057066487,8.079904329531864
145,fifo,6,23,109.6948923073351,22.316597672053867
145,auction,6,23,40.89161075294338,8.857611262215837
146,fifo,5,19,95.94375175445867,21.61004750749909
146,auction,5,19,60.61949093883992,18.08144291823794
147,fifo,3,6,30.70428716906484,10.466087399308952
147,auction,3,6,24.635475183833197,10.133365162651131
148,fifo,5,16,83.53860950228831,21.22613048595207
148,auction,5,16,31.632764333976663,8.67720704194095
149,fifo,3,10,58.825880605681746,22.86079604874007
149,auction,3,10,38.46151735133073,19.703472134426733
150,fifo,4,6,32.3556794345019,11.763045961661874
150,auction,4,6,16.484730837029105,6.0881362293293115
151,fifo,4,22,109.04328774041333,29.191129649660088
151,auction,4,22,52.119145626447796,15.942648177097457
152,fifo,5,15,68.04115855920217,15.190796044313956
152,auction,5,15,39.81090994324545,12.870223937792245
153,fifo,6,15,84.04972935135507,16.273922815715004
153,auction,6,15,41.16124292686731,12.570249956899362
154,fifo,3,11,67.9391461092943,25.979677205961142
154,auction,3,11,30.00910787996962,10.854648583186725
155,fifo,6,7,26.346734867826566,7.355534053325128
155,auction,6,7,14.932929788742566,8.284909541575132
156,fifo,3,9,41.688855418210885,14.94570209973437
156,auction,3,9,31.135663226806994,11.102959216321505
157,fifo,3,8,38.36648502551733,15.395516051964314
157,auction,3,8,26.787137660367367,10.915669883920316
158,fifo,5,18,114.71090520988069,25.56755984006332
158,auction,5,18,37.392420623286554,12.105641815146239
159,fifo,3,14,80.82404405508358,29.432999747741526
159,auction,3,14,31.591855511075668,11.23430784971579
160,fifo,4,14,79.36016628898894,21.88634595739675
160,auction,4,14,44.69665775308671,16.507061966860473
161,fifo,4,21,99.0238157898593,27.440989061368036
161,auction,4,21,39.41699077827535,12.967265520939389
162,fifo,6,13,61.23095955026249,11.765009776453052
162,auction,6,13,28.967606884338174,6.246355000806707
163,fifo,5,14,63.69586884279403,15.559090383485586
163,auction,5,14,33.11740407433352,8.286978172002216
164,fifo,6,21,140.95686469493575,26.097636710710752
164,auction,6,21,48.7273022004922,9.911430988774594
165,fifo,3,24,109.98270549686157,39.373077908648305
165,auction,3,24,39.906873622411155,13.921526612594405
166,fifo,3,22,110.59962083398106,38.86389226573631
166,auction,3,22,52.057998936475876,17.698383458481203
167,fifo,3,7,40.54782095597378,15.637356733169401
167,auction,3,7,25.917929237491666,12.689765594504678
168,fifo,5,15,66.28687663130934,15.470238771323213
168,auction,5,15,36.51643174100241,8.881619123914037
169,fifo,6,19,116.35890861334353,26.522918735481262
169,auction,6,19,51.236453696911525,14.246160339705224
170,fifo,6,23,143.27093194065318,27.90839459571182
170,auction,6,23,51.22025614647579,10.313591497290037
171,fifo,6,18,98.17216473435055,18.76884212316035
171,auction,6,18,63.18514217407782,12.651032885974915
172,fifo,3,24,129.09255569643736,45.26112444309117
172,auction,3,24,50.20706479744028,19.08934505140881
173,fifo,6,21,103.0663534435745,21.34501187683382
173,auction,6,21,38.03301406414256,11.440069435639739
174,fifo,4,13,76.35841622541054,23.570875765942354
174,auction,4,13,32.97721006097387,9.289262651797156
175,fifo,6,9,39.030960262036224,10.359188337993917
175,auction,6,9,21.544919712456377,6.248810612118376
176,fifo,4,12,55.66993360206953,15.834314041918539
176,auction,4,12,28.61458273272958,8.362847016243553
177,fifo,4,5,29.027510889618465,9.674547309537331
177,auction,4,5,23.103772379346594,11.918801402332997
178,fifo,3,19,85.18224870419722,31.948953787986053
178,auction,3,19,48.826362916549286,20.20538751131714
179,fifo,5,10,48.763380393817826,10.647628871567708
179,auction,5,10,28.69439473367781,10.394542061462714
180,fifo,3,10,38.93720418913313,14.049706063694565
180,auction,3,10,26.67700537965527,13.94792474305678
181,fifo,6,20,113.17154039875142,22.294106368844346
181,auction,6,20,59.428225766073325,12.12671065840341
182,fifo,6,22,141.15097294541147,28.324549505545384
182,auction,6,22,43.55187107295815,11.466765283781701
183,fifo,3,12,67.08727988783443,25.47174793007683
183,auction,3,12,36.237043941621145,14.67408037768047
184,fifo,3,19,87.35623601879415,30.711963421596728
184,auction,3,19,42.161272142910875,17.994321126652032
185,fifo,4,18,82.3693965665221,21.00730049752898
185,auction,4,18,37.27923210824239,10.058019079147906
186,fifo,4,7,35.20786062035626,11.254614126637382
186,auction,4,7,21.59717297638293,9.307631030900655
187,fifo,6,18,92.14027990355777,18.967136050320235
187,auction,6,18,29.189666276884203,5.88440884160932
188,fifo,6,20,135.16788907739954,27.15069689451881
188,auction,6,20,43.41938428308869,11.582955089679718
189,fifo,6,18,99.60574979678819,22.766804887507977
189,auction,6,18,37.48284256139836,8.753747537030382
190,fifo,3,5,22.587113057439993,11.52253304533261
190,auction,3,5,22.587113057439993,11.52253304533261
191,fifo,6,20,117.81852764033616,23.966682537777764
191,auction,6,20,43.574259114012804,13.711336828604543
192,fifo,3,7,45.21467286161125,20.79229674124
192,auction,3,7,22.942490001392944,11.994008282896385
193,fifo,5,21,114.44891124477834,24.739078736636408
